,anova,mutual_info,random_forest,l1_logistic,rfe,elasticnet,boruta,correlation
validation,"{'accuracy': 0.7183098591549296, 'f1': 0.696969696969697, 'precision': 0.8846153846153846, 'recall': 0.575, 'roc_auc': 0.8060483870967742}","{'accuracy': 0.7183098591549296, 'f1': 0.6666666666666666, 'precision': 1.0, 'recall': 0.5, 'roc_auc': 0.8387096774193549}","{'accuracy': 0.7183098591549296, 'f1': 0.6874999999999999, 'precision': 0.9166666666666666, 'recall': 0.55, 'roc_auc': 0.807258064516129}","{'accuracy': 0.704225352112676, 'f1': 0.6557377049180327, 'precision': 0.9523809523809523, 'recall': 0.5, 'roc_auc': 0.8947580645161289}","{'accuracy': 0.7887323943661971, 'f1': 0.7692307692307693, 'precision': 1.0, 'recall': 0.625, 'roc_auc': 0.9016129032258065}","{'accuracy': 0.7605633802816901, 'f1': 0.7462686567164178, 'precision': 0.9259259259259259, 'recall': 0.625, 'roc_auc': 0.8064516129032258}","{'accuracy': 0.9154929577464789, 'f1': 0.9302325581395349, 'precision': 0.8695652173913043, 'recall': 1.0, 'roc_auc': 0.8979838709677419}","{'accuracy': 0.704225352112676, 'f1': 0.6865671641791045, 'precision': 0.8518518518518519, 'recall': 0.575, 'roc_auc': 0.7814516129032258}"
test,"{'accuracy': 0.9382716049382716, 'f1': 0.935064935064935, 'precision': 0.972972972972973, 'recall': 0.9, 'roc_auc': 0.9932926829268293}","{'accuracy': 0.9382716049382716, 'f1': 0.9333333333333333, 'precision': 1.0, 'recall': 0.875, 'roc_auc': 1.0}","{'accuracy': 0.9259259259259259, 'f1': 0.9210526315789473, 'precision': 0.9722222222222222, 'recall': 0.875, 'roc_auc': 0.9969512195121951}","{'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0, 'roc_auc': 1.0}","{'accuracy': 0.9876543209876543, 'f1': 0.9873417721518987, 'precision': 1.0, 'recall': 0.975, 'roc_auc': 1.0}","{'accuracy': 0.9259259259259259, 'f1': 0.9210526315789473, 'precision': 0.9722222222222222, 'recall': 0.875, 'roc_auc': 0.9954268292682926}","{'accuracy': 0.9259259259259259, 'f1': 0.9210526315789473, 'precision': 0.9722222222222222, 'recall': 0.875, 'roc_auc': 0.9856707317073171}","{'accuracy': 0.9753086419753086, 'f1': 0.975, 'precision': 0.975, 'recall': 0.975, 'roc_auc': 0.9966463414634147}"
