,missing_count,missing_percent,infinite_count,mean,median,std
6.37_48,23,5.48,0,0.0,0.0,0.0
6.38_48,23,5.48,0,0.0,0.0,0.0
6.39_48,23,5.48,0,0.0,0.0,0.0
6.40_48,23,5.48,0,0.0,0.0,0.0
6.41_48,23,5.48,0,0.0,0.0,0.0
6.42_48,23,5.48,0,0.0,0.0,0.0
6.43_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284946
6.44_48_CP,23,5.48,0,0.005037783375314861,0.0,0.0708876695915773
6.45_48,23,5.48,0,0.005037783375314861,0.0,0.0708876695915773
6.46_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284946
6.47_48,23,5.48,0,0.007556675062972292,0.0,0.0867093422729164
6.48_48_CP,23,5.48,0,0.28211586901763225,0.0,0.4505973102842696
6.49_48,23,5.48,0,0.012594458438287154,0.0,0.1116568031352558
6.50_48,23,5.48,0,0.027707808564231738,0.0,0.1643414629020058
6.51_48_CP,23,5.48,0,0.7682619647355163,1.0,0.422474973126637
6.52_47_CP,23,5.48,0,0.24433249370277077,0.0,0.43023292995452
6.53_47,23,5.48,0,0.042821158690176324,0.0,0.20270917804655678
6.54_46_CP,23,5.48,0,0.3853904282115869,0.0,0.4873015381671472
6.55_44_CP,23,5.48,0,0.7103274559193955,1.0,0.4541827420861722
6.56_44,23,5.48,0,0.16120906801007556,0.0,0.3681876842408692
6.57_43,23,5.48,0,0.10327455919395466,0.0,0.3047011413467294
6.58_43_CP,23,5.48,0,0.7506297229219143,1.0,0.43319444909933674
6.59_40_CP,23,5.48,0,0.3501259445843829,0.0,0.4776110947573139
6.60_39,23,5.48,0,0.07052896725440806,0.0,0.2563594625375016
6.61_39_CP,23,5.48,0,0.327455919395466,0.0,0.4698772956057066
7.30_23_CP,23,5.48,0,0.042821158690176324,0.0,0.2027091780465568
7.31_39_CP,23,5.48,0,0.4987405541561713,0.0,0.5006293268696076
7.32_45,23,5.48,0,0.743073047858942,1.0,0.43749011787284237
7.33_46_CP,23,5.48,0,0.12594458438287154,0.0,0.3322055572606955
7.34_47_CP,23,5.48,0,0.07556675062972293,0.0,0.2646371514394586
7.35_48_CP,23,5.48,0,0.8790931989924433,1.0,0.3264303162897456
7.36_48,23,5.48,0,0.5541561712846348,1.0,0.49768565978233736
7.37_48_CP,23,5.48,0,0.037783375314861464,0.0,0.19091254390398688
7.38_48_CP,23,5.48,0,0.1309823677581864,0.0,0.3378067886469957
7.39_48_CP,23,5.48,0,0.8312342569269522,1.0,0.37501749189543115
7.40_48,23,5.48,0,0.15113350125944586,0.0,0.3586309191533999
7.41_48_CP,23,5.48,0,0.010075566750629723,0.0,0.0999961834246118
7.42_48_CP,23,5.48,0,0.15113350125944586,0.0,0.3586309191533997
7.43_48,23,5.48,0,0.46851385390428213,0.0,0.4996373007063033
7.44_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284956
7.45_48,23,5.48,0,0.007556675062972292,0.0,0.0867093422729164
7.46_48,23,5.48,0,0.010075566750629723,0.0,0.09999618342461179
7.47_48,23,5.48,0,0.0,0.0,0.0
7.48_48,23,5.48,0,0.0,0.0,0.0
7.49_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284946
7.50_48,23,5.48,0,0.0,0.0,0.0
7.51_48,23,5.48,0,0.0,0.0,0.0
7.52_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
7.53_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284946
7.54_47,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
7.55_46,23,5.48,0,0.0,0.0,0.0
7.56_45,23,5.48,0,0.0,0.0,0.0
8.47_45,23,5.48,0,0.0,0.0,0.0
8.48_45,23,5.48,0,0.0,0.0,0.0
8.49_45,23,5.48,0,0.0,0.0,0.0
8.50_46,23,5.48,0,0.0,0.0,0.0
8.51_46,23,5.48,0,0.0,0.0,0.0
8.52_46,23,5.48,0,0.0,0.0,0.0
8.53_46,23,5.48,0,0.0,0.0,0.0
8.54_45,23,5.48,0,0.0,0.0,0.0
8.55_46,23,5.48,0,0.0,0.0,0.0
8.56_46,23,5.48,0,0.0,0.0,0.0
8.57_45,23,5.48,0,0.0,0.0,0.0
8.58_41,23,5.48,0,0.0,0.0,0.0
8.59_38,23,5.48,0,0.0,0.0,0.0
8.60_26,23,5.48,0,0.0,0.0,0.0
8.61_22,23,5.48,0,0.0,0.0,0.0
12.48_32,23,5.48,0,0.0,0.0,0.0
12.49_32,23,5.48,0,0.0,0.0,0.0
12.50_32,23,5.48,0,0.0,0.0,0.0
12.51_32,23,5.48,0,0.0,0.0,0.0
23.49_28,23,5.48,0,0.22670025188916876,0.0,0.4192254080473431
23.50_28,23,5.48,0,0.2972292191435768,0.0,0.45761500773652664
23.51_28,23,5.48,0,0.005037783375314861,0.0,0.07088766959157748
23.52_28,23,5.48,0,0.007556675062972292,0.0,0.08670934227291638
34.50_34,23,5.48,0,0.0,0.0,0.0
34.51_34,23,5.48,0,0.0,0.0,0.0
34.52_34,23,5.48,0,0.0,0.0,0.0
34.53_34,23,5.48,0,0.0,0.0,0.0
34.54_33,23,5.48,0,0.0,0.0,0.0
34.55_32,23,5.48,0,0.0,0.0,0.0
34.56_29,23,5.48,0,0.0,0.0,0.0
34.57_26,23,5.48,0,0.0,0.0,0.0
45.50_40,23,5.48,0,0.7304785894206549,1.0,0.4442710778069884
45.51_40,23,5.48,0,0.8035264483627204,1.0,0.397832076435702
45.52_40,23,5.48,0,0.7984886649874056,1.0,0.4016352093773605
C1_47,23,5.48,0,0.005037783375314861,0.0,0.07088766959157748
C2_46,23,5.48,0,0.0,0.0,0.0
C3_46,23,5.48,0,0.010075566750629723,0.0,0.09999618342461175
C4_46,23,5.48,0,0.0,0.0,0.0
C5_45,23,5.48,0,0.0,0.0,0.0
C6_45,23,5.48,0,0.0,0.0,0.0
C7_44,23,5.48,0,0.0,0.0,0.0
C8_43,23,5.48,0,0.0,0.0,0.0
C9_42,23,5.48,0,0.0,0.0,0.0
C10_41,23,5.48,0,0.0,0.0,0.0
C11_41,23,5.48,0,0.0,0.0,0.0
C12_41,23,5.48,0,0.0,0.0,0.0
C13_40,23,5.48,0,0.0,0.0,0.0
C14_40,23,5.48,0,0.0,0.0,0.0
C15_39,23,5.48,0,0.0,0.0,0.0
C16_39,23,5.48,0,0.0,0.0,0.0
C17_39,23,5.48,0,0.0,0.0,0.0
C18_38,23,5.48,0,0.0,0.0,0.0
C19_37,23,5.48,0,0.0,0.0,0.0
C20_36,23,5.48,0,0.0,0.0,0.0
C21_36,23,5.48,0,0.0,0.0,0.0
C22_35,23,5.48,0,0.0,0.0,0.0
C23_35,23,5.48,0,0.0,0.0,0.0
C24_34,23,5.48,0,0.0,0.0,0.0
C25_33,23,5.48,0,0.0,0.0,0.0
C26_32,23,5.48,0,0.0,0.0,0.0
C27_31,23,5.48,0,0.0,0.0,0.0
C28_31,23,5.48,0,0.0,0.0,0.0
C29_30,23,5.48,0,0.0,0.0,0.0
C30_29,23,5.48,0,0.0,0.0,0.0
C31_29,23,5.48,0,0.0,0.0,0.0
C32_29,23,5.48,0,0.0,0.0,0.0
C33_28,23,5.48,0,0.0,0.0,0.0
C34_27,23,5.48,0,0.0,0.0,0.0
C35_26,23,5.48,0,0.0,0.0,0.0
C36_25,23,5.48,0,0.0,0.0,0.0
C37_24,23,5.48,0,0.0,0.0,0.0
C38_23,23,5.48,0,0.0,0.0,0.0
C39_23,23,5.48,0,0.0,0.0,0.0
C40_22,23,5.48,0,0.0,0.0,0.0
C41_21,23,5.48,0,0.0,0.0,0.0
N1_48,23,5.48,0,0.24181360201511334,0.0,0.428722244755099
N2_45,23,5.48,0,0.2871536523929471,0.0,0.4530047930132064
N3_45,23,5.48,0,0.32997481108312343,0.0,0.47079692738872414
N4_44,23,5.48,0,0.3677581863979849,0.0,0.4828035361405655
N5_44,23,5.48,0,0.3148614609571788,0.0,0.4650467484384914
N6_44,23,5.48,0,0.3778337531486146,0.0,0.4854575500476326
N7_44,23,5.48,0,0.29974811083123426,0.0,0.45872565801458937
N8_44,23,5.48,0,0.2770780856423174,0.0,0.4481201210357938
N9_44,23,5.48,0,0.28211586901763225,0.0,0.4505973102842704
N10_43,23,5.48,0,0.2695214105793451,0.0,0.44427107780698866
N11_42,23,5.48,0,0.21662468513853905,0.0,0.4124644982521506
N12_42,23,5.48,0,0.2141057934508816,0.0,0.4107181673872077
N13_41,23,5.48,0,0.1889168765743073,0.0,0.39193651006448976
N14_41,23,5.48,0,0.1486146095717884,0.0,0.35615702059818255
N15_40,23,5.48,0,0.13350125944584382,0.0,0.34054484437994786
N16_40,23,5.48,0,0.1561712846347607,0.0,0.36347571700199244
N17_40,23,5.48,0,0.0906801007556675,0.0,0.2875159915306446
N18_39,23,5.48,0,0.10327455919395466,0.0,0.3047011413467308
N19_38,23,5.48,0,0.06297229219143577,0.0,0.24321963250193918
N20_38,23,5.48,0,0.05793450881612091,0.0,0.2339143539695762
